Week,Function,CurrentBest,Evaluations,Description,Acquisition,xi,kappa,BestScore,PredMeanScaled,PredStdScaled,BestScaled,BestOriginal,CandidatePool,Kernel,Improved,OldBest,NewBest,NewValue,Method,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,PrevCurrentBest,DeltaVsPrevWeek
1,F1,2.569308323264287e-12,19,2D source localisation (contamination/radiation detection),ei,0.001,2.0,0.32794659276188876,0.05560710969512367,1.0331786839740418,0.23570226323173402,2.569308323264287e-12,200000,"1.06**2 * Matern(length_scale=[0.0228, 10], nu=2.5) + WhiteKernel(noise_level=3.43e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.11978759153264373,0.7967869713266928,,,,,,,,
1,F2,0.614482,19,2D noisy scoring system with local optima,ei,0.001,2.0,0.05186261362321605,0.7442462241634683,0.5561560095921683,1.2661197771237636,0.614482,200000,"1.01**2 * Matern(length_scale=[0.0575, 0.721], nu=2.5) + WhiteKernel(noise_level=0.0059)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.026095873164115546,0.9998364516476629,,,,,,,,
1,F3,-0.034835313350078584,24,3D drug discovery mixture optimisation,ei,0.001,2.0,0.231947156830781,0.9526539867035895,0.47717363539699287,0.8735746984291421,-0.034835313350078584,200000,"1.23**2 * Matern(length_scale=[10, 1.35, 0.061], nu=2.5) + WhiteKernel(noise_level=4.61e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.18449107069760184,0.9961765552974685,0.0879107715770795,,,,,,,
1,F4,0.45506586873199284,39,4D business configuration with costly evaluations,ei,0.001,2.0,0.008383133943859679,1.4348159048182367,0.046699218336530075,1.4600321432390475,0.45506586873199284,200000,"2.75**2 * Matern(length_scale=[1.65, 1.55, 1.49, 1.52], nu=2.5) + WhiteKernel(noise_level=0.00181)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4032097235059954,0.4280616140135374,0.40098241008843183,0.4244271960215772,,,,,,
1,F5,7510.798970698351,29,4D chemical process yield maximisation,ei,0.001,2.0,2.4115080069642006e-07,-0.4702500165017798,0.6354756552741437,2.465911408493809,7510.798970698351,200000,"1.92**2 * Matern(length_scale=[1.46, 1.29, 1.58, 1.25], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.049282225160121595,0.019064877094918664,0.039272961537786255,0.02147831244673959,,,,,,
1,F6,-0.510686,29,5D recipe-style optimisation,ei,0.001,2.0,0.10251197147135821,1.3227874358758336,0.3573569023485542,1.410666642722299,-0.510686,200000,"1.66**2 * Matern(length_scale=[0.772, 1.54, 1.37, 1.68, 2.24], nu=2.5) + WhiteKernel(noise_level=0.1)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4920075513623521,0.3199619000884548,0.5049191462997632,0.9987651878344146,0.0005933312178296735,,,,,
1,F7,2.4253335916220515,39,6D hyperparameter tuning,ei,0.001,2.0,0.008699639521769328,2.6129958996021942,0.1305670858961408,2.757557734810362,2.4253335916220515,200000,"0.668**2 * Matern(length_scale=[0.7, 0.329, 10, 0.353, 0.279, 0.234], nu=2.5) + WhiteKernel(noise_level=4.98e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.014994247991055198,0.2770805433754663,0.02687880173177415,0.351777573208909,0.3245699012300386,0.6203718554233819,,,,
1,F8,9.9598463043471,49,8D high-dimensional hyperparameter optimisation,ei,0.001,2.0,0.009623044176289085,1.4874130056050063,0.04632113648174443,1.508106457784018,9.9598463043471,200000,"3.13**2 * Matern(length_scale=[3.21, 4.66, 2.41, 8.29, 10, 4.37, 3.3, 10], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.0012294656142808336,0.08958111703627858,0.1382618006803521,0.5656212549470045,0.9364448239598557,0.5318305732361222,0.06551044660035266,0.39498227445925016,,
2,F1,2.569308323264287e-12,19,2D source localisation (contamination/radiation detection),ei,0.001,2.0,0.32794659276188876,0.05560710969512367,1.0331786839740418,0.23570226323173402,2.569308323264287e-12,200000,"1.06**2 * Matern(length_scale=[0.0228, 10], nu=2.5) + WhiteKernel(noise_level=3.43e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.11978759153264373,0.7967869713266928,,,,,,,2.569308323264287e-12,0.0
2,F2,0.614482,19,2D noisy scoring system with local optima,ei,0.001,2.0,0.05186261362321605,0.7442462241634683,0.5561560095921683,1.2661197771237636,0.614482,200000,"1.01**2 * Matern(length_scale=[0.0575, 0.721], nu=2.5) + WhiteKernel(noise_level=0.0059)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.026095873164115546,0.9998364516476629,,,,,,,0.614482,0.0
2,F3,-0.034835313350078584,24,3D drug discovery mixture optimisation,ei,0.001,2.0,0.231947156830781,0.9526539867035895,0.47717363539699287,0.8735746984291421,-0.034835313350078584,200000,"1.23**2 * Matern(length_scale=[10, 1.35, 0.061], nu=2.5) + WhiteKernel(noise_level=4.61e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.18449107069760184,0.9961765552974685,0.0879107715770795,,,,,,-0.034835313350078584,0.0
2,F4,0.45506586873199284,39,4D business configuration with costly evaluations,ei,0.001,2.0,0.008383133943859679,1.4348159048182367,0.046699218336530075,1.4600321432390475,0.45506586873199284,200000,"2.75**2 * Matern(length_scale=[1.65, 1.55, 1.49, 1.52], nu=2.5) + WhiteKernel(noise_level=0.00181)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4032097235059954,0.4280616140135374,0.40098241008843183,0.4244271960215772,,,,,0.45506586873199284,0.0
2,F5,7510.798970698351,29,4D chemical process yield maximisation,ei,0.001,2.0,2.4115080069642006e-07,-0.4702500165017798,0.6354756552741437,2.465911408493809,7510.798970698351,200000,"1.92**2 * Matern(length_scale=[1.46, 1.29, 1.58, 1.25], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.049282225160121595,0.019064877094918664,0.039272961537786255,0.02147831244673959,,,,,7510.798970698351,0.0
2,F6,-0.510686,29,5D recipe-style optimisation,ei,0.001,2.0,0.10251197147135821,1.3227874358758336,0.3573569023485542,1.410666642722299,-0.510686,200000,"1.66**2 * Matern(length_scale=[0.772, 1.54, 1.37, 1.68, 2.24], nu=2.5) + WhiteKernel(noise_level=0.1)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4920075513623521,0.3199619000884548,0.5049191462997632,0.9987651878344146,0.0005933312178296735,,,,-0.510686,0.0
2,F7,2.4253335916220515,39,6D hyperparameter tuning,ei,0.001,2.0,0.008699639521769328,2.6129958996021942,0.1305670858961408,2.757557734810362,2.4253335916220515,200000,"0.668**2 * Matern(length_scale=[0.7, 0.329, 10, 0.353, 0.279, 0.234], nu=2.5) + WhiteKernel(noise_level=4.98e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.014994247991055198,0.2770805433754663,0.02687880173177415,0.351777573208909,0.3245699012300386,0.6203718554233819,,,2.4253335916220515,0.0
2,F8,9.9598463043471,49,8D high-dimensional hyperparameter optimisation,ei,0.001,2.0,0.009623044176289085,1.4874130056050063,0.04632113648174443,1.508106457784018,9.9598463043471,200000,"3.13**2 * Matern(length_scale=[3.21, 4.66, 2.41, 8.29, 10, 4.37, 3.3, 10], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.0012294656142808336,0.08958111703627858,0.1382618006803521,0.5656212549470045,0.9364448239598557,0.5318305732361222,0.06551044660035266,0.39498227445925016,9.9598463043471,0.0
3,F1,7.710875114502849e-16,13,2D source localisation (contamination/radiation detection),ei,,,0.2942969996377046,,,0.28867513459554844,7.710875114502849e-16,200000,"1.02**2 * Matern(length_scale=[0.0185, 100], nu=2.5) + WhiteKernel(noise_level=5.69e-06)",False,,,,Gaussian Process with Expected Improvement,0.5471893419446143,0.4311777706536939,,,,,,,2.569308323264287e-12,-2.568537235752837e-12
3,F2,0.6112052157614438,13,2D noisy scoring system with local optima,ei,,,0.1434111707951794,,,1.3950168232358142,0.6112052157614438,200000,"0.976**2 * Matern(length_scale=[0.165, 0.145], nu=2.5) + WhiteKernel(noise_level=2.82e-09)",False,,,,Gaussian Process with Expected Improvement,0.7796908057296316,0.9084262303925028,,,,,,,0.614482,-0.003276784238556152
3,F3,-0.034835313350078584,18,3D drug discovery mixture optimisation,ei,,,0.24689740986157127,,,0.8405796391422903,-0.034835313350078584,200000,"1.26**2 * Matern(length_scale=[100, 1.5, 0.0741], nu=2.5) + WhiteKernel(noise_level=1.16e-09)",False,,,,Gaussian Process with Expected Improvement,0.5177138568726056,0.001259941031933276,0.5271040714653012,,,,,,-0.034835313350078584,0.0
3,F4,0.45506586873199284,33,4D business configuration with costly evaluations,ei,,,0.00843507918357949,,,1.948543149884776,0.45506586873199284,200000,"2.92**2 * Matern(length_scale=[1.55, 1.51, 1.39, 1.45], nu=2.5) + WhiteKernel(noise_level=0.000238)",False,,,,Gaussian Process with Expected Improvement,0.3900986952973514,0.3607679562422309,0.40772835595169965,0.45690808191621857,,,,,0.45506586873199284,0.0
3,F5,7206.272248717776,23,4D chemical process yield maximisation,ei,,,0.4191539315559506,,,4.249148961750917,7206.272248717776,200000,"4.89**2 * Matern(length_scale=[1.58, 7.13, 0.828, 54.2], nu=2.5) + WhiteKernel(noise_level=0.00482)",False,,,,Gaussian Process with Expected Improvement,0.9963814298919723,0.948228629720869,0.9984166243477108,0.5629203069099601,,,,,7510.798970698351,-304.5267219805746
3,F6,-0.510686,23,5D recipe-style optimisation,ei,,,0.13647575375459392,,,1.7013066957832041,-0.510686,200000,"1.36**2 * Matern(length_scale=[0.671, 0.942, 1.04, 1.08, 0.974], nu=2.5) + WhiteKernel(noise_level=1e-06)",False,,,,Gaussian Process with Expected Improvement,0.48551906974250103,0.174153655407841,0.6280785397953268,0.6832100420846869,0.008467078037704079,,,,-0.510686,0.0
3,F7,1.6488039089982314,33,6D hyperparameter tuning,ei,,,0.21006107486662673,,,3.6562686834949134,1.6488039089982314,200000,"1.07**2 * Matern(length_scale=[0.955, 0.406, 100, 0.695, 0.333, 0.551], nu=2.5) + WhiteKernel(noise_level=0.00238)",False,,,,Gaussian Process with Expected Improvement,0.04970522276287803,0.3650546570749438,0.22092764195786196,0.11158528644955967,0.34542572361759594,0.841939265696292,,,2.4253335916220515,-0.7765296826238202
3,F8,9.9598463043471,43,8D high-dimensional hyperparameter optimisation,ei,,,0.014011857668684138,,,1.8961226513308147,9.9598463043471,200000,"6.13**2 * Matern(length_scale=[4.41, 6.63, 3.49, 7.19, 21.2, 6.53, 4.41, 100], nu=2.5) + WhiteKernel(noise_level=2.82e-07)",False,,,,Gaussian Process with Expected Improvement,0.12744544138595892,0.0679877240408081,0.0632247795065467,0.21298637627771022,0.9729865805982821,0.24559230049119163,0.24695374883989873,0.5008253835975651,9.9598463043471,0.0
4,F1,2.569308323264287e-12,19,2D source localisation (contamination/radiation detection),ei,0.001,2.0,0.32794659276188876,0.05560710969512367,1.0331786839740418,0.23570226323173402,2.569308323264287e-12,200000,"1.06**2 * Matern(length_scale=[0.0228, 10], nu=2.5) + WhiteKernel(noise_level=3.43e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.11978759153264373,0.7967869713266928,,,,,,,7.710875114502849e-16,2.568537235752837e-12
4,F2,0.614482,19,2D noisy scoring system with local optima,ei,0.001,2.0,0.05186261362321605,0.7442462241634683,0.5561560095921683,1.2661197771237636,0.614482,200000,"1.01**2 * Matern(length_scale=[0.0575, 0.721], nu=2.5) + WhiteKernel(noise_level=0.0059)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.026095873164115546,0.9998364516476629,,,,,,,0.6112052157614438,0.003276784238556152
4,F3,-0.034835313350078584,24,3D drug discovery mixture optimisation,ei,0.001,2.0,0.231947156830781,0.9526539867035895,0.47717363539699287,0.8735746984291421,-0.034835313350078584,200000,"1.23**2 * Matern(length_scale=[10, 1.35, 0.061], nu=2.5) + WhiteKernel(noise_level=4.61e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.18449107069760184,0.9961765552974685,0.0879107715770795,,,,,,-0.034835313350078584,0.0
4,F4,0.45506586873199284,39,4D business configuration with costly evaluations,ei,0.001,2.0,0.008383133943859679,1.4348159048182367,0.046699218336530075,1.4600321432390475,0.45506586873199284,200000,"2.75**2 * Matern(length_scale=[1.65, 1.55, 1.49, 1.52], nu=2.5) + WhiteKernel(noise_level=0.00181)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4032097235059954,0.4280616140135374,0.40098241008843183,0.4244271960215772,,,,,0.45506586873199284,0.0
4,F5,7510.798970698351,29,4D chemical process yield maximisation,ei,0.001,2.0,2.4115080069642006e-07,-0.4702500165017798,0.6354756552741437,2.465911408493809,7510.798970698351,200000,"1.92**2 * Matern(length_scale=[1.46, 1.29, 1.58, 1.25], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.049282225160121595,0.019064877094918664,0.039272961537786255,0.02147831244673959,,,,,7206.272248717776,304.5267219805746
4,F6,-0.510686,29,5D recipe-style optimisation,ei,0.001,2.0,0.10251197147135821,1.3227874358758336,0.3573569023485542,1.410666642722299,-0.510686,200000,"1.66**2 * Matern(length_scale=[0.772, 1.54, 1.37, 1.68, 2.24], nu=2.5) + WhiteKernel(noise_level=0.1)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4920075513623521,0.3199619000884548,0.5049191462997632,0.9987651878344146,0.0005933312178296735,,,,-0.510686,0.0
4,F7,2.4253335916220515,39,6D hyperparameter tuning,ei,0.001,2.0,0.008699639521769328,2.6129958996021942,0.1305670858961408,2.757557734810362,2.4253335916220515,200000,"0.668**2 * Matern(length_scale=[0.7, 0.329, 10, 0.353, 0.279, 0.234], nu=2.5) + WhiteKernel(noise_level=4.98e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.014994247991055198,0.2770805433754663,0.02687880173177415,0.351777573208909,0.3245699012300386,0.6203718554233819,,,1.6488039089982314,0.7765296826238202
4,F8,9.9598463043471,49,8D high-dimensional hyperparameter optimisation,ei,0.001,2.0,0.009623044176289085,1.4874130056050063,0.04632113648174443,1.508106457784018,9.9598463043471,200000,"3.13**2 * Matern(length_scale=[3.21, 4.66, 2.41, 8.29, 10, 4.37, 3.3, 10], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.0012294656142808336,0.08958111703627858,0.1382618006803521,0.5656212549470045,0.9364448239598557,0.5318305732361222,0.06551044660035266,0.39498227445925016,9.9598463043471,0.0
5,F1,2.569308323264287e-12,19,2D source localisation (contamination/radiation detection),ei,0.001,2.0,0.32794659276188876,0.05560710969512367,1.0331786839740418,0.23570226323173402,2.569308323264287e-12,200000,"1.06**2 * Matern(length_scale=[0.0228, 10], nu=2.5) + WhiteKernel(noise_level=3.43e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.11978759153264373,0.7967869713266928,,,,,,,2.569308323264287e-12,0.0
5,F2,0.614482,19,2D noisy scoring system with local optima,ei,0.001,2.0,0.05186261362321605,0.7442462241634683,0.5561560095921683,1.2661197771237636,0.614482,200000,"1.01**2 * Matern(length_scale=[0.0575, 0.721], nu=2.5) + WhiteKernel(noise_level=0.0059)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.026095873164115546,0.9998364516476629,,,,,,,0.614482,0.0
5,F3,-0.034835313350078584,24,3D drug discovery mixture optimisation,ei,0.001,2.0,0.231947156830781,0.9526539867035895,0.47717363539699287,0.8735746984291421,-0.034835313350078584,200000,"1.23**2 * Matern(length_scale=[10, 1.35, 0.061], nu=2.5) + WhiteKernel(noise_level=4.61e-09)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.18449107069760184,0.9961765552974685,0.0879107715770795,,,,,,-0.034835313350078584,0.0
5,F4,0.45506586873199284,39,4D business configuration with costly evaluations,ei,0.001,2.0,0.008383133943859679,1.4348159048182367,0.046699218336530075,1.4600321432390475,0.45506586873199284,200000,"2.75**2 * Matern(length_scale=[1.65, 1.55, 1.49, 1.52], nu=2.5) + WhiteKernel(noise_level=0.00181)",False,,,,Gaussian Process with function-specific EI/UCB tuning,0.4032097235059954,0.4280616140135374,0.40098241008843183,0.4244271960215772,,,,,0.45506586873199284,0.0
